Percentile point	1999-00	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09 (a)	2009-10	2010-11	2011-12	2012-13	2013-14	2014-15
1	4,570	4,600	4,760	4,840	4,800	4,950	5,170	5,370	5,570		6,740	6,690	7,690	8,320	9,660	10,200
2	4,800	4,800	5,000	5,070	5,020	5,200	5,450	5,660	5,860		6,980	6,910	7,910	8,570	9,900	10,500
3	5,010	4,990	5,250	5,330	5,260	5,450	5,710	5,930	6,150		7,210	7,120	8,140	8,820	10,100	10,700
4	5,260	5,200	5,490	5,570	5,500	5,700	5,960	6,190	6,430		7,460	7,350	8,360	9,060	10,400	10,800
5	5,500	5,410	5,730	5,830	5,730	5,940	6,210	6,450	6,710		7,690	7,580	8,600	9,300	10,600	11,000
6	5,740	5,610	5,970	6,070	5,960	6,190	6,470	6,710	7,000		7,940	7,810	8,840	9,550	10,800	11,200
7	5,890	5,810	6,180	6,280	6,190	6,440	6,720	6,970	7,270		8,190	8,060	9,080	9,800	10,900	11,300
8	6,060	5,980	6,340	6,450	6,420	6,660	6,950	7,190	7,500		8,440	8,300	9,330	10,000	11,100	11,500
9	6,210	6,130	6,490	6,600	6,630	6,880	7,160	7,420	7,730		8,680	8,550	9,580	10,300	11,300	11,700
10	6,340	6,270	6,650	6,760	6,790	7,040	7,340	7,610	7,940		8,940	8,800	9,830	10,500	11,400	11,800
11	6,470	6,400	6,810	6,920	6,950	7,200	7,520	7,780	8,130		9,180	9,060	10,000	10,700	11,600	12,000
12	6,610	6,550	6,970	7,080	7,100	7,360	7,690	7,960	8,330		9,430	9,310	10,200	10,900	11,700	12,200
13	6,770	6,700	7,130	7,250	7,260	7,510	7,860	8,130	8,520		9,650	9,550	10,400	11,100	11,900	12,400
14	6,890	6,850	7,300	7,420	7,430	7,670	8,030	8,310	8,710		9,840	9,740	10,600	11,200	12,100	12,500
15	7,050	6,990	7,470	7,590	7,590	7,830	8,190	8,490	8,900		10,000	9,920	10,700	11,400	12,200	12,700
16	7,190	7,130	7,640	7,760	7,760	7,990	8,370	8,660	9,100		10,200	10,100	10,900	11,600	12,400	12,900
17	7,320	7,270	7,810	7,930	7,930	8,150	8,540	8,850	9,290		10,400	10,300	11,100	11,800	12,600	13,000
18	7,470	7,430	7,970	8,100	8,100	8,310	8,720	9,020	9,480		10,600	10,500	11,300	11,900	12,700	13,200
19	7,620	7,580	8,140	8,260	8,270	8,480	8,880	9,210	9,670		10,800	10,600	11,400	12,100	12,900	13,400
20	7,760	7,740	8,300	8,410	8,430	8,640	9,070	9,380	9,860		10,900	10,800	11,600	12,300	13,100	13,600
21	7,910	7,880	8,460	8,580	8,600	8,800	9,240	9,560	10,000		11,100	11,000	11,800	12,500	13,300	13,800
22	8,060	8,040	8,630	8,740	8,770	8,970	9,410	9,750	10,200		11,300	11,200	12,000	12,600	13,400	13,900
23	8,200	8,200	8,790	8,900	8,940	9,130	9,580	9,920	10,400		11,500	11,300	12,200	12,800	13,600	14,100
24	8,350	8,350	8,960	9,070	9,110	9,300	9,750	10,100	10,600		11,700	11,500	12,300	13,000	13,800	14,300
25	8,490	8,510	9,120	9,230	9,290	9,470	9,930	10,300	10,800		11,800	11,700	12,500	13,200	14,000	14,500
26	8,650	8,670	9,290	9,400	9,460	9,650	10,100	10,500	11,000		12,000	11,900	12,700	13,400	14,200	14,700
27	8,790	8,840	9,470	9,580	9,650	9,830	10,300	10,600	11,200		12,200	12,100	12,900	13,600	14,400	14,900
28	8,950	9,010	9,640	9,760	9,830	10,000	10,500	10,800	11,400		12,400	12,300	13,100	13,800	14,600	15,100
29	9,090	9,180	9,820	9,940	10,000	10,200	10,700	11,000	11,600		12,600	12,500	13,300	13,900	14,800	15,200
30	9,230	9,340	9,990	10,100	10,200	10,400	10,800	11,200	11,800		12,800	12,700	13,500	14,100	14,900	15,400
31	9,390	9,510	10,200	10,300	10,400	10,600	11,000	11,400	11,900		13,000	12,900	13,700	14,300	15,200	15,600
32	9,550	9,670	10,300	10,500	10,600	10,700	11,200	11,600	12,100		13,200	13,100	13,900	14,500	15,300	15,800
33	9,720	9,850	10,500	10,600	10,700	10,900	11,400	11,800	12,300		13,400	13,300	14,100	14,700	15,500	16,000
34	9,850	10,000	10,700	10,800	10,900	11,100	11,600	12,000	12,500		13,600	13,500	14,300	14,900	15,700	16,200
